code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
1406;Servignat;1;555;317;4232;2371;9;;
1407;Seyssel;1;490;323;3739;2204;9;;
1408;Simandre-sur-Suran;1;411;332;5945;2953;9;;
1410;Sonthonnax-la-Montagne;1;404;396;5007;2634;9;;
1411;Souclin;1;404;376;3476;2115;9;;
1412;Sulignat;1;618;318;4527;2471;9;;
1415;Talissieu;1;482;322;4151;2344;9;;
1416;Tenay;1;406;332;2787;1880;9;;
1418;Thil;1;450;314;3776;2216;9;;
1419;Thoiry;1;469;358;4684;2525;9;;
1420;Thoissey;1;634;313;4762;2551;9;;
1421;Torcieu;1;406;324;3119;1993;9;;
1422;Tossiat;1;466;324;3551;2140;9;;
1423;Toussieux;1;662;320;4817;2570;9;;
1424;Tramoyes;1;569;328;4118;2332;9;;
1425;La Tranclière;1;468;325;3722;2198;9;;
1426;Val-Revermont;1;452;321;4071;2317;9;;
1427;Trévoux;1;703;315;5708;2872;9;;
1428;Valeins;1;645;324;4781;2558;9;;
1429;Vandeins;1;575;318;3874;2250;9;;
1430;Varambon;1;444;321;3588;2152;9;;
1431;Vaux-en-Bugey;1;450;325;2986;1948;9;;
1432;Verjon;1;437;320;5124;2674;9;;
1433;Vernoux;1;546;317;4870;2588;9;;
1434;Versailleux;1;561;327;3549;2139;9;;
1435;Versonnex;1;469;359;3296;2053;9;;
1436;Vesancy;1;446;393;4485;2457;9;;
1437;Vescours;1;560;317;4370;2418;9;;
1439;Vésines;1;612;313;4695;2528;9;;
1441;Vieu-d'Izenave;1;419;390;3298;2054;9;;
1443;Villars-les-Dombes;1;650;326;4161;2347;9;;
1444;Villebois;1;431;322;3559;2143;9;;
1445;Villemotier;1;499;314;5023;2640;9;;
1446;Villeneuve;1;683;324;4756;2549;9;;
1447;Villereversure;1;402;329;4153;2344;9;;
1448;Villes;1;474;370;3881;2252;9;;
1449;Villette-sur-Ain;1;457;322;3202;2021;9;;
1450;Villieu-Loyes-Mollon;1;438;319;4031;2303;9;;
1451;Viriat;1;520;319;3659;2176;9;;
1452;Virieu-le-Grand;1;440;326;4273;2385;9;;
1453;Arvière-en-Valromey;1;463;352;3988;2288;9;;
1454;Virignin;1;453;477;4721;2537;46;;
1456;Vongnes;1;449;330;4269;2384;9;;
1457;Vonnas;1;601;315;4885;2593;9;;
2001;Abbécourt;2;462;301;3256;2040;9;;
2002;Achery;2;486;302;3713;2195;9;;
2003;Acy;2;358;310;3594;2154;9;;
2004;Agnicourt-et-Séchelles;2;545;306;4031;2303;9;;
2005;Aguilcourt;2;449;302;3713;2195;9;;
2006;Aisonville-et-Bernoville;2;567;311;3937;2271;9;;
2007;Aizelles;2;432;304;3280;2048;9;;
2008;Aizy-Jouy;2;388;303;3428;2098;9;;
2009;Alaincourt;2;519;302;4172;2351;9;;
2010;Allemant;2;394;306;3293;2052;9;;
2011;Ambleny;2;400;301;2649;1834;9;;
2012;Ambrief;2;352;309;3738;2203;9;;
2013;Amifontaine;2;469;303;3013;1957;9;;
2014;Amigny-Rouy;2;473;305;3568;2146;9;;
2015;Ancienville;2;364;308;3285;2050;9;;
2016;Andelain;2;461;304;3404;2090;9;;
2017;Anguilcourt-le-Sart;2;491;301;3875;2250;9;;
2018;Anizy-le-Grand;2;430;305;3294;2053;9;;
2019;Annois;2;472;303;4183;2355;9;;
2020;Any-Martin-Rieux;2;532;318;3425;2097;9;;
2021;Archon;2;523;312;3458;2108;9;;
2022;Arcy-Sainte-Restitue;2;340;309;4555;2481;9;;
2023;Armentières-sur-Ourcq;2;336;305;3432;2099;9;;
2024;Arrancy;2;429;308;3152;2004;9;;
2025;Artemps;2;480;304;4215;2365;9;;
2027;Assis-sur-Serre;2;502;302;3895;2257;9;;
2028;Athies-sous-Laon;2;448;303;3140;2000;9;;
2029;Attilly;2;519;305;4235;2372;9;;
2030;Aubencheul-aux-Bois;2;602;309;3735;2202;9;;
2031;Aubenton;2;531;313;3678;2183;9;;
2032;Aubigny-aux-Kaisnes;2;487;304;4271;2384;9;;
2033;Aubigny-en-Laonnois;2;431;309;3264;2042;9;;
2034;Audignicourt;2;393;304;2750;1868;9;;
2035;Audigny;2;554;309;3700;2190;9;;
2036;Augy;2;349;303;3151;2004;9;;
2037;Aulnois-sous-Laon;2;453;303;3172;2011;9;;
2038;Les Autels;2;523;321;3719;2197;9;;
